Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity
2024-10-05 12:00:00,Wednesday,31-50,Male,Junior high school,Above 10yr,Other,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the right,Serious Injury
2024-10-05 12:00:00,Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,18-30,3.0,Improper parking,Serious Injury
2024-10-05 19:31:00,Friday,31-50,Male,Elementary school,2-5yr,Other,Owner,Unknown,No defect,Office areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,Other,Slight Injury
2024-10-05 19:31:00,Friday,31-50,Male,High school,Above 10yr,Lorry (41-100Q),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 23:30:00,Sunday,Unknown,Female,Elementary school,1-2yr,Other,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Turnover,,,,,Changing lane to the right,Slight Injury
2024-10-05 15:45:00,Thursday,Over 51,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,5-10yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to pedestrian,Slight Injury
2024-10-05 15:45:00,Thursday,Over 51,Male,Unknown,Unknown,Taxi,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Overspeed,Slight Injury
2024-10-05 11:04:00,Sunday,Over 51,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 11:04:00,Sunday,31-50,Male,Above high school,5-10yr,Lorry (41-100Q),Other,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 09:55:00,Friday,18-30,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 09:55:00,Friday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 18:10:00,Saturday,18-30,Male,Junior high school,1-2yr,Stationwagen,Owner,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Rollover,2,2,Moving Backward,,,,,No priority to pedestrian,Slight Injury
2024-10-05 18:10:00,Saturday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Governmental,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,5,3.0,No distancing,Slight Injury
2024-10-05 08:00:00,Monday,18-30,Male,Junior high school,Below 1yr,Lorry (41-100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 08:30:00,Wednesday,31-50,Male,Junior high school,Above 10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,2.0,Other,Slight Injury
2024-10-05 08:30:00,Wednesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 17:50:00,Sunday,31-50,Male,Above high school,5-10yr,Other,Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Moving Backward,Driver or rider,Male,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 17:50:00,Sunday,Under 18,Male,Junior high school,5-10yr,Taxi,Owner,5-10yrs,Unknown,Church areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,4,5,Going straight,Pedestrian,Male,31-50,2.0,Driving carelessly,Slight Injury
2024-10-05 17:50:00,Sunday,Under 18,Male,Elementary school,Below 1yr,Lorry (41-100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Other,Pedestrian,Female,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 17:50:00,Sunday,Under 18,Male,Unknown,Unknown,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,5,Other,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 17:50:00,Sunday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Pedestrian,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 17:50:00,Sunday,18-30,Male,Junior high school,Unknown,Public (> 45 seats),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Driver or rider,Male,5,3.0,Changing lane to the right,Slight Injury
2024-10-05 17:51:00,Monday,18-30,Male,Junior high school,1-2yr,Stationwagen,Owner,Unknown,Unknown,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,,,,,Changing lane to the right,Serious Injury
2024-10-05 17:51:00,Monday,Over 51,Male,Junior high school,2-5yr,Automobile,Governmental,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Other,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,18-30,3.0,Driving at high speed,Serious Injury
2024-10-05 17:51:00,Monday,18-30,Male,Unknown,Unknown,Lorry (41-100Q),Owner,Below 1yr,Unknown,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,,,,,No distancing,Serious Injury
2024-10-05 08:42:00,Thursday,31-50,Male,Junior high school,Above 10yr,Other,Other,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,2.0,Changing lane to the right,Serious Injury
2024-10-05 08:42:00,Thursday,31-50,Male,Junior high school,2-5yr,Public (13-45 seats),Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Passenger,Female,18-30,3.0,Changing lane to the left,Serious Injury
2024-10-05 08:42:00,Thursday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Going straight,Driver or rider,Female,Over 51,3.0,Getting off the vehicle improperly,Serious Injury
2024-10-05 00:25:00,Saturday,Unknown,Female,Junior high school,2-5yr,Other,Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,,,,,Other,Slight Injury
2024-10-05 00:25:00,Saturday,18-30,Male,Junior high school,1-2yr,Ridden horse,Owner,Unknown,No defect,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3.0,Other,Slight Injury
2024-10-05 00:25:00,Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41-100Q),Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,,,,,No distancing,Slight Injury
2024-10-05 00:25:00,Saturday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 10:50:00,Sunday,Over 51,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Unknown,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 08:15:00,Wednesday,31-50,Male,Above high school,5-10yr,Lorry (11-40Q),Owner,Unknown,Unknown,Church areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,,,,,No priority to pedestrian,Slight Injury
2024-10-05 08:15:00,Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Above 10yr,Unknown,Industrial areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 10:58:00,Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,No defect,Recreational areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,4,1,Other,Driver or rider,Male,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 10:58:00,Sunday,31-50,Male,Junior high school,2-5yr,Lorry (11-40Q),Owner,Unknown,No defect,Market areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,4,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 10:58:00,Sunday,Unknown,Female,Junior high school,5-10yr,Motorcycle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,4,1,Going straight,Driver or rider,Male,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 10:58:00,Sunday,Unknown,Female,Junior high school,1-2yr,Lorry (41-100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,1,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 19:14:00,Monday,18-30,Male,Junior high school,2-5yr,Stationwagen,Owner,Unknown,No defect,Industrial areas,Two-way (divided with broken lines road marking),Other,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,,,,,Other,Slight Injury
2024-10-05 19:14:00,Monday,18-30,Male,High school,2-5yr,Automobile,Governmental,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3.0,Driving to the left,Slight Injury
2024-10-05 19:14:00,Monday,18-30,Male,Unknown,Unknown,Other,Governmental,Unknown,Unknown,Office areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,Under 18,2.0,Driving at high speed,Slight Injury
2024-10-05 08:34:00,Wednesday,18-30,Male,Junior high school,1-2yr,Other,Owner,Unknown,Unknown,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,1,1,Other,,,,,Other,Serious Injury
2024-10-05 14:19:00,Sunday,Over 51,Male,Junior high school,Below 1yr,Taxi,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3.0,Changing lane to the right,Serious Injury
2024-10-05 14:19:00,Sunday,Over 51,Male,High school,1-2yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3.0,No distancing,Serious Injury
2024-10-05 14:20:00,Thursday,18-30,Male,Above high school,1-2yr,Long lorry,Organization,Unknown,Unknown,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,,,,,Other,Serious Injury
2024-10-05 14:20:00,Thursday,31-50,Male,Junior high school,Above 10yr,Long lorry,Governmental,2-5yrs,Unknown,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to vehicle,Serious Injury
2024-10-05 12:30:00,Thursday,18-30,Male,High school,1-2yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 12:30:00,Thursday,31-50,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Above 10yr,Unknown,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 13:30:00,Tuesday,Over 51,Male,Above high school,2-5yr,Lorry (11-40Q),Other,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,5,3.0,Overtaking,Slight Injury
2024-10-05 14:00:00,Friday,18-30,Male,High school,Above 10yr,Automobile,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 06:10:00,Friday,31-50,Male,Elementary school,5-10yr,Taxi,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3.0,No priority to vehicle,Slight Injury
2024-10-05 06:10:00,Friday,Over 51,Male,High school,1-2yr,Other,Owner,2-5yrs,Unknown,Church areas,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3.0,No priority to pedestrian,Slight Injury
2024-10-05 15:30:00,Monday,18-30,Male,High school,5-10yr,Automobile,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 16:05:00,Friday,18-30,Male,High school,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3.0,Driving carelessly,Serious Injury
2024-10-05 16:05:00,Friday,Under 18,Male,Junior high school,1-2yr,Automobile,Owner,1-2yr,Unknown,School areas,Other,Steep grade downward with mountainous terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,,,,,Changing lane to the right,Serious Injury
2024-10-05 07:50:00,Wednesday,18-30,Male,Above high school,Above 10yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 07:50:00,Wednesday,31-50,Male,Above high school,2-5yr,Public (> 45 seats),Owner,Below 1yr,Unknown,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 17:35:00,Wednesday,31-50,Male,Elementary school,5-10yr,Lorry (11-40Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,Overturning,Slight Injury
2024-10-05 17:35:00,Wednesday,31-50,Male,Elementary school,1-2yr,Lorry (41-100Q),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 08:15:00,Wednesday,31-50,Male,Junior high school,Unknown,Lorry (41-100Q),Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 08:15:00,Wednesday,31-50,Male,Unknown,Unknown,Stationwagen,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 18:05:00,Sunday,31-50,Male,Elementary school,5-10yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 19:56:00,Thursday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Unknown,Church areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 19:56:00,Thursday,31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 22:11:00,Friday,18-30,Male,High school,2-5yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:07:00,Monday,Over 51,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 13:07:00,Monday,Over 51,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 13:07:00,Monday,18-30,Male,Junior high school,5-10yr,Motorcycle,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 07:40:00,Friday,18-30,Male,Illiterate,Unknown,Stationwagen,Owner,5-10yrs,7,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 07:40:00,Friday,31-50,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,Unknown,7,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 22:30:00,Saturday,18-30,Male,Junior high school,1-2yr,Taxi,Owner,Unknown,No defect,Office areas,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 22:30:00,Saturday,31-50,Male,Junior high school,2-5yr,Automobile,Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 22:30:00,Saturday,31-50,Male,Junior high school,Above 10yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Other,Passenger,Female,31-50,2.0,Changing lane to the right,Slight Injury
2024-10-05 20:10:00,Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Driver or rider,Male,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 20:10:00,Friday,31-50,Male,High school,1-2yr,Public (12 seats),Governmental,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 20:10:00,Friday,31-50,Male,Junior high school,Above 10yr,Lorry (11-40Q),Other,Unknown,Unknown,Office areas,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Going straight,Driver or rider,Male,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 20:10:00,Friday,31-50,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,,,,,No distancing,Slight Injury
2024-10-05 12:47:00,Tuesday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,,,,,Other,Serious Injury
2024-10-05 02:34:00,Saturday,Unknown,Female,Junior high school,Above 10yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the right,Serious Injury
2024-10-05 20:15:00,Tuesday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3.0,Changing lane to the right,Serious Injury
2024-10-05 20:15:00,Tuesday,31-50,Male,Elementary school,5-10yr,Long lorry,Owner,Below 1yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Male,Over 51,3.0,No distancing,Serious Injury
2024-10-05 18:40:00,Tuesday,18-30,Male,Unknown,Unknown,Lorry (11-40Q),Organization,1-2yr,Unknown,Church areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2.0,No distancing,Slight Injury
2024-10-05 18:40:00,Tuesday,18-30,Male,Elementary school,1-2yr,Long lorry,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Overturning,Slight Injury
2024-10-05 07:26:00,Thursday,Over 51,Male,Elementary school,5-10yr,Automobile,Owner,1-2yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,18-30,2.0,Driving at high speed,Slight Injury
2024-10-05 07:26:00,Thursday,31-50,Male,Elementary school,5-10yr,Taxi,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3.0,No priority to vehicle,Slight Injury
